N,P,K,temperature,humidity,ph,rainfall,label
117.7,16.6,50.4,26.57,85.43,7.51,36.18,watermelon
41.0,57.3,106.4,14.96,12.66,6.97,95.26,chickpea
22.2,63.9,18.3,20.49,22.27,6.09,111.77,kidneybeans
38.9,52.7,43.0,35.91,92.98,7.24,187.46,papaya
101.7,27.2,22.6,24.67,58.34,5.79,71.55,maize
19.7,80.1,19.7,19.6,20.63,5.26,109.33,kidneybeans
16.6,107.6,210.0,24.91,83.34,5.9,94.68,grapes
23.4,93.3,175.0,21.15,93.83,6.09,139.6,apple
112.1,46.9,28.5,26.08,82.67,6.59,72.22,cotton
13.4,26.4,27.3,30.98,40.54,5.74,134.71,mango
15.2,70.7,21.6,20.11,51.7,7.21,143.84,pigeonpeas
20.6,24.6,45.9,31.94,43.14,5.6,88.89,mango
23.9,22.5,44.8,15.08,90.42,5.1,137.08,pomegranate
14.3,10.8,51.7,19.62,90.94,6.22,141.26,pomegranate
19.7,13.0,7.3,26.76,95.97,6.69,100.98,orange
0.2,20.4,20.3,22.44,93.91,6.46,157.25,coconut
93.1,11.5,31.1,25.98,71.58,7.09,87.64,maize
17.4,31.9,36.6,36.1,59.22,5.58,79.58,mango
101.1,10.3,56.2,20.8,84.77,6.51,43.63,watermelon
19.1,18.5,13.6,19.63,89.65,6.71,72.46,orange
42.1,49.6,53.3,34.11,96.15,6.81,142.9,papaya
83.1,24.5,16.1,27.12,56.87,6.72,161.96,coffee
124.6,15.5,61.1,28.89,94.3,6.34,36.9,muskmelon
47.6,62.9,72.3,14.34,24.4,7.3,87.5,chickpea
128.8,19.0,38.8,23.17,51.99,6.28,159.95,coffee
22.1,67.6,25.5,22.42,61.49,7.13,15.0,lentil
20.4,110.0,179.7,23.39,83.85,5.83,89.05,grapes
12.2,123.6,175.4,23.02,87.2,5.93,72.67,grapes
73.3,77.6,53.8,28.36,82.26,6.02,94.68,banana
119.0,77.4,45.5,30.74,78.44,6.18,75.98,banana
27.2,77.6,22.0,22.92,61.91,6.9,45.52,lentil
109.4,16.0,47.4,28.46,84.03,6.38,58.52,watermelon
20.3,46.0,18.4,21.8,27.53,5.45,84.7,kidneybeans
90.6,94.1,48.8,28.37,76.05,5.77,81.98,banana
114.2,68.4,36.0,28.91,80.86,6.54,101.46,banana
67.9,50.2,53.4,25.61,84.52,7.43,230.47,jute
25.5,20.6,32.9,23.17,94.65,5.58,80.94,pomegranate
24.2,64.1,16.8,18.66,18.17,5.28,119.12,kidneybeans
119.6,27.4,27.4,25.92,58.39,7.35,202.02,coffee
115.4,8.9,47.2,22.32,86.39,6.46,45.09,watermelon
14.1,118.1,159.6,21.62,90.23,5.47,115.28,apple
16.0,63.2,16.7,31.2,84.23,6.74,41.69,mungbean
52.9,43.2,78.4,11.31,14.37,6.59,59.92,chickpea
18.8,51.7,21.0,26.06,59.02,7.68,41.76,lentil
18.7,16.9,11.5,16.79,92.97,6.77,103.75,orange
17.1,9.5,9.0,27.92,94.43,6.76,106.36,orange
92.0,78.9,58.0,25.58,82.74,5.63,113.34,banana
12.1,50.5,25.3,24.89,74.24,7.02,49.17,lentil
83.7,21.3,51.9,23.18,87.28,6.63,53.61,watermelon
10.9,22.3,41.9,20.15,86.03,6.3,128.65,pomegranate
52.5,66.5,44.2,33.56,90.57,6.64,194.47,papaya
75.5,36.8,27.6,24.12,84.85,5.8,217.12,rice
97.8,73.2,39.1,26.25,78.79,6.04,129.41,banana
97.5,33.1,23.6,24.12,50.09,6.29,88.44,maize
23.0,24.9,6.7,19.42,95.35,6.93,106.37,orange
24.4,41.1,6.5,26.7,83.37,7.26,42.82,mungbean
67.6,75.8,44.1,29.69,87.37,5.92,97.23,banana
78.6,35.2,33.1,26.64,60.08,6.16,83.3,maize
89.7,42.0,27.7,19.37,61.33,7.2,153.86,maize
26.2,53.2,30.1,27.23,60.66,7.97,29.39,mothbeans
86.8,11.8,57.1,22.91,84.84,6.89,37.81,watermelon
98.3,40.1,16.9,24.39,75.6,6.69,71.53,cotton
18.2,103.3,19.2,23.45,60.58,6.92,36.71,lentil
48.7,61.9,16.6,25.64,65.39,7.57,103.48,blackgram
135.9,52.8,20.3,21.93,92.13,7.2,92.02,cotton
109.9,25.3,52.8,28.77,93.93,6.33,18.13,muskmelon
53.0,62.3,19.8,28.72,57.38,7.2,65.8,blackgram
110.3,12.8,52.6,22.99,84.86,7.12,62.59,watermelon
46.6,71.2,40.7,33.92,92.99,7.78,160.31,papaya
20.5,138.3,155.4,20.9,100.0,6.06,121.19,apple
122.9,19.7,39.1,28.03,55.8,6.52,157.81,coffee
23.6,45.9,22.7,21.47,14.81,6.23,90.34,kidneybeans
19.9,39.7,15.4,26.46,82.54,6.01,30.53,mungbean
24.4,41.2,19.7,32.16,47.79,6.22,43.4,mothbeans
25.7,57.1,11.1,27.5,58.67,7.46,67.39,lentil
13.9,79.4,24.4,26.57,46.79,5.9,124.2,pigeonpeas
18.0,26.4,36.4,28.31,44.77,6.22,87.95,mango
22.3,54.6,14.4,19.89,17.07,5.55,119.42,kidneybeans
36.6,24.6,30.5,33.57,57.38,5.92,74.75,mango
92.3,53.2,22.6,23.99,61.62,5.92,84.16,maize
14.4,56.7,22.1,17.51,18.65,5.52,61.95,kidneybeans
31.2,68.2,10.6,29.14,56.4,7.24,67.38,blackgram
91.1,17.2,51.9,28.89,80.35,7.43,58.69,watermelon
64.9,18.9,40.8,24.8,87.35,6.45,52.24,watermelon
89.7,46.1,32.8,20.79,63.26,6.24,91.36,maize
69.8,50.9,46.4,28.22,80.32,6.07,174.4,jute
89.1,27.7,14.5,29.96,52.22,6.96,70.9,maize
14.4,22.7,44.8,27.93,54.58,5.75,71.14,mango
40.0,60.9,20.8,25.6,70.82,6.57,57.46,blackgram
107.4,17.8,55.8,27.75,80.87,6.51,39.37,watermelon
89.8,42.8,41.3,29.19,78.66,5.69,184.1,jute
75.7,56.0,45.7,25.41,85.29,6.13,162.72,jute
45.9,76.2,78.6,21.35,18.34,6.76,105.79,chickpea
86.7,48.5,30.9,22.44,68.88,6.06,81.37,maize
4.4,139.5,210.0,26.41,81.56,5.41,89.43,grapes
24.7,64.6,22.9,21.18,24.42,6.0,100.15,kidneybeans
100.4,28.2,51.6,28.25,93.42,6.38,15.0,muskmelon
19.2,63.2,27.3,24.0,55.1,6.03,137.9,pigeonpeas
25.2,24.5,41.7,25.06,81.71,6.44,125.28,pomegranate
14.3,113.0,180.5,23.33,95.54,5.25,90.85,apple
99.3,44.6,13.1,17.58,88.92,6.34,63.93,cotton
57.5,65.7,39.6,33.12,93.31,7.12,150.61,papaya
110.6,18.3,52.4,27.34,95.81,6.34,15.0,muskmelon
47.2,52.5,49.9,38.44,90.75,7.02,160.51,papaya
33.9,53.6,19.9,27.56,88.45,6.1,49.37,mungbean
111.4,93.4,46.2,25.52,73.82,5.74,70.9,banana
12.8,144.9,195.5,24.21,86.49,6.13,80.39,grapes
32.6,51.9,17.1,30.03,42.84,7.3,43.64,mothbeans
23.9,16.8,53.1,21.94,84.83,6.1,95.33,pomegranate
88.9,50.5,19.5,23.7,59.45,5.44,96.46,maize
20.0,25.0,45.8,22.74,91.66,6.69,133.68,pomegranate
53.0,57.7,56.0,35.54,93.84,6.58,118.68,papaya
88.6,21.2,26.6,29.42,92.8,6.33,40.86,muskmelon
91.5,79.9,41.3,24.51,82.24,6.19,137.21,banana
14.9,67.7,21.0,29.46,89.32,6.21,50.08,mungbean
21.5,56.7,18.5,23.66,71.28,7.18,41.16,lentil
18.5,53.0,20.4,28.17,83.93,6.39,33.06,mungbean
140.0,37.1,14.0,22.32,80.68,6.93,80.63,cotton
92.8,42.6,33.4,21.92,85.8,7.27,224.24,jute
22.5,72.1,21.9,21.06,58.77,6.53,57.38,lentil
37.3,61.5,28.7,32.15,92.6,6.74,81.62,papaya
28.5,65.6,24.1,18.72,25.28,5.98,129.6,kidneybeans
11.5,16.2,8.7,18.38,90.27,7.91,87.4,orange
15.7,150.0,210.0,23.76,80.67,5.1,80.33,grapes
55.9,48.7,19.5,28.64,63.99,6.99,34.7,blackgram
17.0,61.2,19.0,15.23,20.01,5.87,151.4,kidneybeans
14.2,79.7,14.3,24.1,60.46,6.33,69.01,lentil
26.9,58.1,23.1,26.6,71.93,6.71,42.95,lentil
20.0,9.1,26.3,24.82,92.55,6.67,151.69,coconut
21.7,138.0,198.7,24.01,93.05,5.8,108.35,apple
75.1,51.5,33.2,25.26,80.9,6.65,225.9,rice
143.1,41.4,18.2,25.29,81.55,7.48,78.05,cotton
19.8,64.0,19.7,30.93,56.37,6.62,70.89,blackgram
5.6,131.8,191.6,24.57,78.85,6.62,82.99,grapes
114.2,20.4,58.6,25.28,98.15,6.72,51.16,watermelon
20.5,26.8,18.7,32.12,53.16,6.42,99.77,mango
101.3,35.5,25.9,22.12,64.19,6.48,99.33,maize
38.6,70.7,20.4,29.18,64.85,7.61,73.6,blackgram
21.0,130.0,203.6,25.22,91.2,5.37,83.96,grapes
15.2,20.2,36.4,25.49,90.73,6.7,104.26,pomegranate
116.1,13.9,60.2,27.85,91.0,6.07,30.02,muskmelon
125.2,29.0,31.1,25.7,59.16,6.54,128.01,coffee
20.3,117.3,204.6,25.25,94.62,6.05,130.19,apple
133.2,71.3,55.2,29.84,83.81,5.47,55.25,banana
94.5,53.0,43.6,23.91,82.84,6.86,145.02,jute
21.8,143.4,210.0,27.33,83.79,6.06,49.95,grapes
20.3,13.7,11.1,22.44,89.05,6.73,93.36,orange
100.3,13.4,49.2,25.75,88.43,6.09,30.71,muskmelon
111.3,10.5,61.0,25.57,92.67,6.29,37.44,watermelon
29.7,13.5,37.2,27.55,95.83,6.21,201.72,coconut
116.3,22.3,63.0,24.43,82.63,6.28,62.21,watermelon
98.1,36.8,24.8,20.88,58.16,6.71,81.47,maize
23.8,125.6,204.5,19.13,89.96,6.39,100.0,apple
20.5,63.4,18.6,15.88,23.33,5.49,102.02,kidneybeans
41.7,42.0,90.6,15.22,11.65,7.27,78.12,chickpea
24.2,69.6,23.6,23.88,45.9,6.27,139.18,pigeonpeas
112.7,11.4,47.2,22.88,76.28,6.97,29.1,watermelon
16.0,137.9,182.7,23.16,91.14,5.68,99.52,apple
14.9,133.6,180.9,23.33,84.71,6.63,68.76,grapes
22.1,69.9,22.9,22.69,69.13,6.6,43.29,lentil
19.3,134.2,196.4,26.0,89.76,5.94,112.36,apple
96.9,27.9,48.9,29.87,91.12,6.12,56.83,watermelon
15.1,94.7,21.8,29.33,67.13,6.29,35.58,lentil
16.4,66.3,31.4,20.33,24.1,5.99,103.92,kidneybeans
124.4,14.5,63.3,30.34,84.36,7.03,49.41,watermelon
71.7,33.7,26.1,24.17,73.63,6.27,101.59,maize
26.0,19.3,34.5,22.03,99.76,5.6,204.7,coconut
115.7,50.1,13.8,23.76,86.41,7.36,53.66,cotton
71.1,15.2,43.9,31.92,94.78,6.52,29.6,muskmelon
54.7,64.3,91.3,23.36,16.0,7.64,69.64,chickpea
43.9,59.0,44.2,33.94,94.01,6.71,86.26,papaya
32.8,54.1,21.5,30.23,69.53,7.67,74.6,blackgram
119.8,20.7,38.8,27.39,61.33,6.09,194.2,coffee
15.1,63.2,15.0,19.38,50.56,6.08,142.64,pigeonpeas
12.9,149.6,200.8,22.83,90.63,5.91,99.39,apple
21.2,18.3,39.4,20.59,89.9,6.32,78.84,pomegranate
91.7,23.4,57.0,28.91,96.91,6.94,28.06,muskmelon
45.9,54.5,85.2,14.67,18.88,7.48,60.62,chickpea
36.3,62.7,54.7,19.0,12.76,7.61,60.51,chickpea
52.9,58.0,47.0,34.91,93.45,6.19,129.78,papaya
18.5,61.3,24.9,26.97,53.32,6.53,32.15,lentil
27.3,114.6,183.1,24.73,95.09,5.97,97.12,apple
20.4,141.7,203.3,23.28,94.38,5.71,119.46,apple
64.5,63.3,31.4,34.18,94.77,6.04,157.03,papaya
87.7,12.9,55.0,25.14,93.66,6.3,21.47,muskmelon
26.2,101.1,183.4,23.75,87.37,5.57,100.3,apple
43.8,52.1,31.2,31.45,87.85,6.9,149.63,papaya
107.4,48.5,37.2,22.07,77.53,6.59,154.7,jute
18.0,52.0,23.9,28.63,58.91,7.45,55.75,mothbeans
38.0,12.3,17.5,23.98,96.52,5.64,158.28,coconut
12.6,20.0,44.6,22.82,85.68,6.18,106.23,pomegranate
18.1,15.0,38.6,25.04,85.29,6.91,152.21,pomegranate
77.6,40.3,35.3,23.72,82.91,5.78,206.63,rice
113.3,21.0,36.3,24.03,90.97,6.18,29.63,muskmelon
15.5,92.4,20.0,23.07,54.54,7.09,24.63,lentil
92.5,14.1,59.6,21.59,91.08,6.66,44.22,watermelon
25.2,67.6,25.5,21.95,22.7,5.66,92.45,kidneybeans
25.9,50.3,39.5,31.33,47.26,5.62,177.43,pigeonpeas
23.0,150.0,200.2,23.31,92.3,5.85,96.38,apple
57.1,27.1,12.1,23.08,79.45,5.7,70.01,maize
85.3,44.8,9.3,25.45,69.53,6.1,82.66,maize
20.2,127.2,160.2,26.88,85.54,6.3,59.73,grapes
22.4,66.2,18.9,17.61,27.62,6.08,85.41,kidneybeans
79.6,47.2,54.8,18.25,79.61,6.36,192.44,rice
74.2,36.8,35.1,21.19,73.69,6.85,203.13,rice
18.2,30.8,26.8,30.4,45.59,6.39,107.89,mango
26.2,25.1,8.2,22.43,93.25,7.14,83.43,orange
19.9,45.8,28.2,30.3,85.07,7.33,47.2,mungbean
14.8,9.9,40.6,19.86,88.93,5.78,103.13,pomegranate
85.1,48.2,29.7,26.69,78.77,6.23,224.9,jute
86.8,25.7,33.5,27.27,78.72,6.62,161.49,coffee
49.3,71.0,27.0,31.14,74.01,6.77,64.78,blackgram
102.8,58.5,58.7,27.8,75.53,5.78,123.78,banana
40.2,44.9,13.5,32.03,49.29,7.56,58.01,blackgram
29.4,16.7,44.2,26.7,94.98,6.49,158.79,coconut
32.3,60.2,16.9,17.04,25.33,5.73,109.58,kidneybeans
103.4,43.8,25.8,18.69,86.08,6.33,79.9,cotton
31.6,73.9,91.2,21.01,14.25,7.5,71.3,chickpea
118.5,12.2,49.9,23.68,93.52,6.62,26.55,muskmelon
58.3,44.9,20.8,22.98,66.65,6.36,93.89,maize
72.0,20.9,47.4,28.21,91.35,7.11,27.89,muskmelon
8.4,27.0,27.9,31.91,43.49,5.94,86.08,mango
22.8,11.4,7.5,23.5,90.11,6.96,138.41,orange
89.4,55.2,19.5,27.06,71.43,6.73,180.62,jute
20.6,50.4,29.5,27.23,85.19,6.68,42.35,mungbean
20.5,59.4,24.6,27.62,61.23,5.53,183.91,pigeonpeas
19.9,34.5,18.2,28.86,83.11,6.61,38.06,mungbean
83.7,45.4,12.1,23.8,75.23,5.62,69.87,maize
123.8,86.3,38.2,27.53,79.39,6.36,95.84,banana
102.9,103.5,54.5,28.8,77.97,6.44,116.48,banana
27.7,36.1,21.8,30.76,51.15,5.21,98.83,mango
100.2,22.1,38.3,17.47,54.96,7.48,177.37,coffee
133.1,87.3,63.8,26.94,78.8,5.88,85.02,banana
134.4,48.9,17.1,24.25,74.01,6.94,70.73,cotton
23.9,72.3,16.7,13.22,13.73,6.17,123.28,kidneybeans
110.7,56.7,29.4,26.54,77.62,6.48,73.75,cotton
10.5,48.4,9.2,27.04,85.57,6.92,35.72,mungbean
41.3,72.2,25.2,29.46,60.12,7.07,94.95,blackgram
82.5,18.9,38.1,27.94,86.61,6.25,48.2,watermelon
20.1,25.8,27.3,27.28,58.87,4.94,66.21,mango
16.8,75.3,15.3,28.74,56.73,5.96,171.49,pigeonpeas
11.0,144.1,192.8,20.47,75.89,5.55,79.15,grapes
22.2,18.4,32.1,23.22,95.86,5.91,149.91,coconut
12.9,74.8,13.0,15.36,16.53,6.21,110.16,kidneybeans
28.3,57.7,19.4,25.91,49.49,5.65,164.28,pigeonpeas
38.0,59.7,61.1,19.07,22.47,7.05,71.76,chickpea
23.2,40.8,16.3,29.07,76.1,6.3,60.28,mungbean
10.8,52.9,16.2,33.39,59.26,6.8,42.32,mothbeans
107.2,93.5,46.2,26.4,72.75,5.77,102.35,banana
13.2,78.9,12.0,18.2,64.66,6.57,42.12,lentil
15.2,24.6,35.7,24.04,95.15,5.35,214.14,coconut
13.7,19.6,55.2,20.93,82.27,5.66,96.87,pomegranate
20.2,12.6,23.0,26.55,96.09,6.47,175.47,coconut
41.4,50.1,81.0,19.58,16.03,6.7,60.1,chickpea
84.4,37.3,31.7,23.73,83.18,6.53,228.01,rice
36.2,61.5,85.0,16.4,15.7,7.69,103.07,chickpea
37.8,73.6,40.2,29.2,96.07,6.68,147.2,papaya
18.7,41.7,24.7,29.33,49.14,5.56,131.62,pigeonpeas
16.6,23.2,26.1,37.33,53.08,5.96,81.58,mango
21.4,56.0,25.1,28.14,55.33,7.39,27.92,mothbeans
132.9,43.6,20.0,22.33,85.13,6.41,67.43,cotton
21.8,19.5,12.2,21.91,94.99,7.55,86.57,orange
120.1,60.6,21.0,20.19,81.68,6.84,93.7,cotton
22.8,23.7,8.8,25.97,96.46,7.08,93.28,orange
17.8,149.2,164.6,24.65,93.29,6.35,116.08,apple
17.0,78.7,27.0,22.84,73.62,6.92,31.87,lentil
18.8,142.0,172.6,21.54,86.54,5.08,65.77,grapes
87.6,56.2,42.8,26.32,81.26,6.9,154.57,jute
20.0,10.4,44.2,26.05,99.02,5.87,167.97,coconut
31.4,73.3,28.7,27.94,57.84,5.94,137.27,pigeonpeas
26.0,115.5,198.7,22.77,83.73,5.57,64.91,grapes
17.1,52.0,12.0,32.55,63.18,6.36,68.45,mothbeans
19.2,49.5,16.8,27.66,90.62,6.86,49.84,mungbean
6.5,39.0,18.2,22.37,28.27,4.95,113.33,kidneybeans
96.8,3.5,29.8,25.83,91.79,6.36,20.22,muskmelon
104.3,33.5,32.7,26.87,71.68,6.52,160.63,coffee
104.7,17.4,43.8,21.73,84.77,6.95,70.26,watermelon
26.5,34.1,22.4,28.17,43.49,5.49,72.93,mothbeans
17.0,67.6,10.1,21.48,62.34,7.17,49.55,lentil
62.0,56.7,38.1,32.63,94.6,7.07,146.8,papaya
35.7,63.3,31.0,20.19,27.94,5.3,80.86,kidneybeans
9.3,73.8,27.2,28.63,60.92,5.46,112.03,pigeonpeas
13.9,127.7,202.0,24.19,87.41,5.84,65.08,grapes
22.0,52.8,6.9,27.72,86.83,6.31,44.13,mungbean
71.0,47.5,54.4,21.75,83.35,5.72,192.3,rice
20.8,80.7,21.3,31.56,46.7,5.49,194.97,pigeonpeas
24.1,133.7,210.0,21.37,91.57,6.12,123.19,apple
96.1,55.6,29.4,28.6,84.45,7.01,136.51,jute
77.9,50.8,34.7,25.17,85.48,7.32,213.72,jute
21.9,130.2,210.0,23.15,80.08,6.48,60.4,grapes
11.3,57.6,16.2,16.86,18.16,5.94,55.24,kidneybeans
125.2,19.9,53.5,28.82,94.05,6.11,22.17,muskmelon
95.1,44.3,34.1,25.72,80.98,7.0,233.78,rice
79.4,26.8,25.0,24.52,77.24,6.4,178.26,jute
18.7,28.0,14.7,29.56,53.16,6.74,46.43,mothbeans
16.1,67.3,12.6,27.26,70.18,6.15,28.18,lentil
62.0,53.9,38.4,29.39,92.97,6.67,118.56,papaya
16.6,47.7,12.2,15.17,22.8,5.42,97.44,kidneybeans
86.9,35.7,24.4,22.08,75.86,5.8,120.43,maize
81.7,52.0,39.6,24.54,81.92,6.77,133.68,jute
116.7,33.1,20.8,25.45,61.83,7.01,185.31,coffee
78.9,51.8,37.9,22.56,77.72,7.08,211.55,rice
21.9,31.5,10.7,26.58,54.01,7.11,64.74,mothbeans
20.4,119.8,187.6,23.0,96.04,6.83,55.6,apple
90.8,10.8,55.3,25.78,91.73,7.35,15.86,muskmelon
95.7,33.5,10.9,19.96,55.22,6.0,74.02,maize
97.3,14.3,65.0,28.36,85.45,6.12,52.47,watermelon
45.0,60.9,12.8,27.89,70.98,6.7,84.91,blackgram
47.0,76.1,75.3,17.03,14.72,7.33,63.16,chickpea
113.5,46.0,19.0,24.09,79.46,6.31,95.67,cotton
116.0,97.8,35.2,23.37,79.11,5.7,96.73,banana
17.2,129.1,198.4,24.36,79.6,6.17,59.07,grapes
50.1,67.4,45.2,30.75,92.08,6.37,155.78,papaya
27.3,15.9,35.3,25.78,92.96,6.2,144.49,coconut
25.0,21.1,35.4,30.72,51.54,5.95,99.91,mango
19.5,12.4,37.2,28.64,95.86,5.68,188.09,coconut
101.2,15.7,32.9,26.07,54.18,6.76,135.59,coffee
19.7,65.0,29.4,19.17,21.81,6.61,146.72,kidneybeans
11.6,45.6,21.5,31.41,83.28,6.83,50.19,mungbean
120.3,64.6,52.5,26.87,86.95,5.84,117.11,banana
23.0,47.1,22.6,29.32,90.12,6.61,50.69,mungbean
21.7,50.1,20.2,24.13,67.74,6.18,58.7,lentil
61.4,46.9,28.9,25.51,81.57,7.13,193.22,jute
53.0,50.5,58.6,32.28,90.69,6.5,168.04,papaya
62.0,66.7,36.6,29.79,93.9,7.45,102.15,papaya
67.1,22.9,22.3,23.31,66.96,7.13,176.81,coffee
102.0,24.8,49.6,23.01,85.07,6.05,33.5,watermelon
22.8,75.7,22.8,19.51,19.87,4.89,98.18,kidneybeans
14.0,15.9,40.0,27.79,46.36,5.34,114.76,mango
22.2,17.9,11.2,24.12,90.43,7.28,156.86,orange
10.3,21.8,8.3,26.38,93.79,6.91,85.0,orange
87.7,40.0,18.1,26.27,73.24,7.32,89.31,cotton
13.8,43.6,18.4,28.59,81.78,7.09,46.91,mungbean
13.1,136.4,148.4,19.56,93.9,5.52,96.56,apple
90.0,50.6,39.2,25.02,85.53,6.22,223.12,jute
17.0,125.9,196.1,20.97,87.82,6.09,74.03,grapes
58.8,68.1,31.8,28.91,83.69,6.19,204.48,rice
51.0,74.0,90.7,17.46,18.92,7.4,90.82,chickpea
23.0,58.2,27.2,25.7,42.21,6.08,146.7,pigeonpeas
20.8,35.2,21.4,29.01,95.42,6.93,31.82,mungbean
13.2,150.0,202.8,25.93,87.16,5.34,61.37,grapes
22.4,25.7,41.5,24.87,93.78,6.39,49.14,pomegranate
43.9,60.8,76.1,18.59,14.57,6.9,97.54,chickpea
11.5,129.5,197.1,24.34,74.44,5.42,61.99,grapes
10.6,19.8,39.1,28.31,95.47,5.82,216.78,coconut
17.4,40.3,20.7,28.9,84.48,7.39,36.03,mungbean
14.1,57.8,23.3,25.76,64.77,6.1,58.81,mothbeans
43.5,53.4,33.8,32.38,92.94,6.44,97.09,papaya
67.7,44.2,25.6,22.83,77.61,6.5,112.97,maize
40.6,47.7,72.1,18.94,23.91,6.69,109.89,chickpea
90.6,92.1,52.5,27.1,79.73,6.02,116.41,banana
13.8,126.0,210.0,26.64,93.86,6.06,128.68,apple
120.7,23.2,41.9,23.33,61.65,6.42,194.14,coffee
